Day,Polymer,Time,Batch,N,Al27,As75,Ba138,C13,Ca44,Co59,Cr50,Cu63,Fe57,Ga69,K39,Mg25,Mn55,Na23,Nb93,Ni60,Pb208,Pd106,Sb121,Si29,Sn118,Sr88,Ti47
230613,PVC,After,01,2,1173054.60871685,193012.629776618,5757042.69400664,149234.248747476,194729.041927072,111017.307362918,379929.786380726,910632.797594683,28247.2220455567,531270.958997334,901182.184630143,86493.8125101809,2925364.08184052,1995329.64527566,696089.715578525,17923.4855202993,4355297.62740144,183214.884282768,740162.260518507,23755.5665068126,340266.833465707,1077663.66763326,350654.775769497
230613,PVC,After,01,3,1147898.54733874,201218.393841427,6159238.53993661,157980.873776098,202623.184027073,115647.535981548,395356.313115515,938170.594060349,29141.6196577235,550403.872438458,938098.440080301,90170.6186482392,3077145.99022327,2263561.44926924,714218.349170548,18197.4511036236,4450720.05982606,196659.63063924,766524.838173888,25301.3927379059,345077.812409434,1121112.0042224,358509.366722913
230613,PVC,Before,01,1,2209766.9077555,309351.891329572,6508367.90175525,192854.427593306,294355.791183203,166926.602875019,564135.034012491,1307585.59156966,40477.4412219433,726411.353346763,1470776.45692008,121213.410555317,4270264.4355317,2096202.98273555,949788.108024645,28544.0264550544,4450777.65082958,242289.891823274,873231.504129554,36388.5611897209,436537.481979506,1531801.25106578,504228.348894644
230613,PVC,Before,01,2,2487465.93796341,290011.180017235,6687887.40593288,190286.794300587,298264.452218963,176065.672209544,554940.39369983,1303514.51108585,41301.2609840763,746709.199212725,1489710.64325411,127322.750841659,4375394.64390728,2151697.56555978,974230.575018347,28528.808691707,4737127.46196912,251595.521042034,892243.793919378,37780.4583796522,415269.299977571,1555367.34267527,499485.011805526
230613,PVC,Before,01,3,2901749.28336693,298887.757628762,7243851.47843392,198430.304384544,316152.454698767,178465.458098276,563944.663797403,1416291.16619691,41424.8702393224,738780.416085954,1655250.85654163,132760.694919181,4541974.58071691,2128101.84642773,1030889.85159328,28325.772136705,4858246.1836689,264554.872092576,921228.92413622,41982.8148402892,409538.525535032,1653169.60858521,503741.112508101
230613,PVC,Before,02,1,2463549.58456492,403111.988042514,10267903.4871471,274038.574423475,414667.340380182,227091.308104138,805108.114540641,2136996.8536674,55027.1164876106,1019970.17159367,2133167.94584131,170600.469129698,5922953.50665113,3776989.41129806,1578413.61009902,36118.4989558459,6856537.7951238,353996.847221931,1290852.72769828,52175.1123417286,562140.582144977,2252089.30642706,729211.144269001
230613,PVC,Before,02,2,2663119.40184617,446434.616644197,16125596.4556451,283931.564080948,457713.430771344,251170.766006371,879367.057331129,2403130.74820368,62589.1458366377,1182567.94534302,2333438.12507476,186608.427878306,6554970.31413799,4663580.56881206,1871848.28894419,40380.0970291733,7919668.36179175,395732.952122018,1445402.56926518,57175.5530565004,622464.582276851,2700383.46773637,797932.687204024
230613,PVC,Before,02,3,2795009.02685197,506525.550278317,12091659.7161627,292353.615213813,460845.325874155,252875.15450233,963400.006161399,2611669.85383666,64338.8007170433,1175523.05892422,3345386.4057399,193711.536417839,6753711.54890962,4177021.39460972,2049344.33374338,42007.2559196245,8264931.42673384,409584.514703077,1549761.80273405,58446.0831725958,701771.097925133,2679517.62903821,876165.679035297
230613,PVC,Before,03,1,1924285.41369858,287637.724634121,8319391.40214719,201282.523155648,339708.862169742,178501.340739211,599218.541533848,1388024.67387136,43906.613368369,807091.628956273,1689886.47771015,139926.947018796,4802439.70837473,3288621.78838657,1102310.8852253,30159.8410820165,5460519.30335331,268034.862817374,896899.499020786,40484.925360174,477924.738201726,1908990.84894462,532831.37068337
230613,PVC,Before,03,2,1692041.93997173,257591.681119609,7666115.33688292,194230.253047274,329203.973427237,171046.0390616,534328.840155411,1260846.10992868,40245.5357409496,771179.58886074,1592956.24217314,138282.234336279,4482365.38136801,3109126.11158349,975875.303001912,27963.4050749668,5193971.55301677,252372.207009277,841956.820737923,38563.4557442403,413169.32387625,1758182.53735138,479417.748832822
